"sentiment","content"
"happiness","@adonkim Sounds like a nice relaxing afternoon. I have to mow the lawn and walk the dog"
"happiness","@Aeire ahahaha, that happens to me all the time.  poor Angela!"
"happiness","@afiaa_afaya who??  the_handsome_blue_beast?? hhihihuahauu"
"happiness","@Afish0410 awwww jim jam  we're good at dodging meatballs WOO"
"happiness","@agcruc Girl, if you were part of the tour, I would seriously be the first in line for tickets.  Just sayin'."
"happiness","@Agent_M Thanks for remembering"
"happiness","@ahhrjay useless tweet! LOL jk yay!!! You're coming tmr! How long u gnna be in phils for  ?"
"happiness","@aidadoll he thinks he's a gangsterrr  his ass don't even fit in G Unit. &amp; I know :| )))))"
"happiness","@AimeeLady The girls there last night would have let her! And I figure the boys would have enjoyed watching..."
"happiness","@aimeesays aww i hope it does fly by because JT episodes are usually really good (and it's early but so far this ep hassn't disappointed)"
"happiness","@aimzsta hehehehe oh i love the Purate ENglish sooo much"
"happiness","@alancostello well...as long as you have trees  yeh definately need to go find one, maybe after the crutches tho! :p"
"happiness","@AlexaRPD Nice action shot: http://bit.ly/m8zfx  I miss working a pole.   __ dont you see clients everyday?  lol"
"happiness","@algibbs thanks for that, now i learned something new today  enjoy."
"happiness","@alicedric can't wait for it. i love your scripts. honestly, you should have a future career as a script writer  - Stock Twits"
"happiness","@AliciaWag hehe - about NZ being the most magical place on Earth."
"happiness","@alidg take me with you!!!  Have fun!"
"happiness","@aligomm wow! How cool is that! or was I guess, I have 18 now  haha get another follower!"
"happiness","@Alitaluna Hey workaholic! =P lol...jus wanted to say hiiii....i always tell ash to invite u over but she says ur always working lol"
"happiness","@AllanGoesDMB I listen to it alot at work.  Damn good show!"
"happiness","@allearsdeb http://twitpic.com/4w0yj - wow, fancy!"
"happiness","@Alleexx1995 umm get ready, help my mum, give GJ his presents when he gets up (could be a while), wait for people to arrive, then party"
"happiness","@allicandy95 testing.... Hey! I gotta add you as someone to follow"
"happiness","@alliemunchkin :3, Youtube loves my HD videos  well maybe."
"happiness","@Allierosen YAY!!! but im very sad, because i just got a flight in next weekend for my friends benefit  Have a wonderful time!!!"
"happiness","@allyycase suuure"
"happiness","@AlohaZen do u hav a garden? bunny probs r decidedly uncool.   thanks 4d link!"
"happiness","@alphonso I'm in SF right now"
"happiness","@AlyceMadden why arent u famous already? lol you have a very adoring fan, that fan would do anything for you hehehe, im you no.1 fan"
"happiness","@Alyssa_Milano Good Morning Alyssa!! Hope u have a great wonderful day today   im happy cuz today is my last day of classes!! Yay!!"
"happiness","@amandalaur that would be awesome i think, i hate how expensive phones are"
"happiness","@amandapalmer He loved it, so Happy Birthday!!!   He said you sounded like a mixture of John Lennon, Chrissie Hynde, and Janis Joplin."
"happiness","@Amaury_Polanco Hi I have uploaded 5 completely new Chinese Lessons on www.youtube.com/ChineseLearn Please feel free to watch and enjoy"
"happiness","@amazondotjon http://twitpic.com/4j9cd - whoaaaaaaaaaaa RYAN!!!! i can see his smile from here"
"happiness","@amber_benson  Woohoo! Well Done! I started Macarena-ing too"
"happiness","@amber_benson Loved it! You continue to delight us Amber.    Great job on the backing and the video by @adambusch. Kudos."
"happiness","@AmberCadabra Wow, I haven't watched that movie in ages. It is quite fantastic."
"happiness","@AmbersAlerts lol i'll have to look on youtube later  thanks"
"happiness","@amhartnett That sounds like fun"
"happiness","@AmineB perfect!"
"happiness","@AmongstStars awee!"
"happiness","@amoonchilde  Thank you!  Tomorrow is my b-day too! I tease my Mom and tell her I was her Mother's Day gift."
"happiness","@AmyatQ13 @borborigma I agree about the redesigned Q13 site! Looks great on computer &amp; phone."
"happiness","@AmyyVee aww that was a really great blog :] thanks for the mention  hi form the philippines :-h :]"
"happiness","@amyyyxoxo ahh I gtg but pls help me with number 3 I'll come back later to see what u said  haha plz and thank u"
"happiness","@an_other Excellent analogy"
"happiness","@Andph112 hope you enjoyed your holiday"
"happiness","@AndreasHale yeah !!"
"happiness","@andrewbravener Happy Birthday!  What's better than getting birthday greetings from strangers? Very little, that's what! (I kid!) &lt;3"
"happiness","@andyclemmensen Heyy my teddy bear says i look very pretty and that Blake is to"
"happiness","@andyroddick At work at the mo and it's so sunny here today   Off to see a band tonight!!"
"happiness","@andysowards andy!! It's great this am. About to wall over to the first day of An Event Apart! So exciiiiiiiting.  How r u mate?"
"happiness","@AndyTaylorSonic Yey! holiday Monday in Uk today ... have a chilled day"
"happiness","@AnGee10 @malennaa yess... it's awesomee.. and u can follow ur love molly hahah....  now u can chat with us here!"
"happiness","@angelakeen the next wk I C Drs too but maybe then? I would love it! I did go to Mac Grill.  John was not there! Thought of U!"
"happiness","@angelemotion yayyy for new videos by amazing people"
"happiness","@angusmaclean yeah I've been there, my son is two so we go to only the kid friendly places now;) congrats on the baby!"
"happiness","@annabranch You just let me know how that goes."
"happiness","@AnnaDiFilippo have fun without me pasty  &lt;33"
"happiness","@annahasphyxiate re sore back and legs: well at least you had a good time. epson salt works good usually.  DM me if need more help"
"happiness","@annalisaceccato hey thanks mate your cool coz you watched it..."
"happiness","@AnnaSaccone Seeing my friends and doing coursework  I have the weekend off work so I am happy!"
"happiness","@AnnCurry The photos are AMAZING! What a GREAT subject &amp; way to get people educated about Darfur! HUGS! U are an inspiring woman!"
"happiness","@AnnCurry those photos are lovely! Who knew you were as talented a photographer as you are a journalist!"
"happiness","@antony Hahahahahahahahahah! That tickled me so much!"
"happiness","@antsrants it's driving me insane!  all i want is a lie in!!!"
"happiness","@anyamarina that was funny! LOVED IT! I almost fell for it. Haha"
"happiness","@aoibhe   well, I couldn't get a real clear shot, but I've got the best I could...silly people walking through the admitting of the ER..."
"happiness","@apattys ... Yes.  That's what I said."
"happiness","@Aphrosie It would still involve me standing up. lol. Windows are too high up. Guess im just gonna have to go out"
"happiness","@apizzle86: thanks!  and you being #80 just made my morning!"
"happiness","@Appledoe Mmmm, I had honey mustard chicken w/ rice &amp; veges"
"happiness","@AprilAMiller Its 5:30 in the evening, sunset time"
"happiness","@aprilllllx hey girlie!!!"
"happiness","@aquapunk @_Mintyfresh Thanks very much!!"
"happiness","@archiedineros Yup I stayed until the very very end  Exciting!"
"happiness","@arielm27 Happy happy birthday"
"happiness","@ArielSatriani what did you do?haha. just wash your feet and go to bed,mommas boy"
"happiness","@Arizona_Abby Thank you. I will check that out"
"happiness","@arlastouch nothing yet  still looking....but lets for sure do lunch next week!!"
"happiness","@ArnaudJacobs haha yeah this is improving my nite big time!!  i have to make a skype call soon tho, so will have to tear myself away.."
"happiness","@artcon http://twitpic.com/4vfcx - awesomeeeeee"
"happiness","@artistico The John Lennon poster. My inner fan girl is dancing with joy."
"happiness","@artistiquemeg wooohooo! I'm fourth row back"
"happiness","@aruky Yes, this NBA song is great!!!  Got an old funny NBA cheerleader remix song. Ohrwurm of the day &quot;colorblind&quot;."
"happiness","@Ashika_Sunshine  I figured that... But I ended up taking my cousin to work in the Rain anyway...    But hit me up"
"happiness","@ashleynewcomb Oh yeah, lots of rambly goodness. LOL You have mail.  Bed? This is early for me. ;) Probably why I'm an insomniac, huh?"
"happiness","@AshleyTaylor_x3 you are too sweet girl!! My food was soooo good"
"happiness","@ashleytisdale Ahhh I am sooo happy Ashley Tisdale is in Germany but I am not in Oberhausen...  But i will show it in the TV at 8 o' clock"
"happiness","@AspaPhoto Ahhhh \you are soo smart  Thanks for this schooling of thoughts  Have you taught before?"
"happiness","@AspaPhoto I am the same... well peer trained, peer taught, peer learning"
"happiness","@assembled ive been there before  haha"
"happiness","@assos Eh, it's alright - nowhere near the same quality as a standard keyboard, but still useful!"
"happiness","@AsunUnique  Apple has done some impressive things for my almost 2 year old macbook. Except when I poured coffee into the keyboard."
"happiness","@atbandre nice wedding ring, shiny!"
"happiness","@atomicfern just made my day: http://tinyurl.com/cumqmv"
"happiness","@atxtraveler thanks! I will try #boarding out"
"happiness","@aub311 Dang me too! It's only a 4 hour drive! Too bad it's my daughters 1st bday party  it's hosted by Donnie"
"happiness","@audreythebaby gandang mac un ah! for sure, if its out in the market mas mahal pa sya sa macbook pro. ang cool ng concept!"
"happiness","@auflutterfly Thanks! I registered"
"happiness","@aulia &quot;alternate means of acquisition&quot; sounds sorta noble"
"happiness","@aussiecynic LOL #yourock"
"happiness","@aussiemcflyfan i hope so  I KNOW WOO! haha 2 times  it was exciting lol"
"happiness","@avenue_a The rocky kind! With little rockpools &amp; octopi &amp; shells &amp; stuff. Now I want to be at the beach. Its the perfect overcast day."
"happiness","@avrilchan that is of course, u don't mind some old ppl as well"
"happiness","@ayanakamura0428 so excited for you and Paris ooh lala  i look forward to knowing you a long long time lovely ! hugs n kisses g"
"happiness","@azmomofmanyhats @rocknrod @gailelaine @sarahstanley  Good morning to you !  Its so pretty outside today"
"happiness","@b_luca LOL!  I'm glad to see I'm not the only one out there!!!"
"happiness","@babyexpat commercial shoot in Tokyo. not much time to play there   quick and dirty"
"happiness","@babygirlparis hope you have a great weekend,Paris"
"happiness","@BabyPatches I had a very good day - lots of stretching and sleeping in the sun"
"happiness","@baldy_za thanks man. I can't wait"
"happiness","@balmeras Weekend was quiet, just planning new websites. Today, research and choosing hats. Coffee hat sounds good though. Kettle on"
"happiness","@BamaBlockhead No.. $16 is a good price considering WHO you are going to see!    Right?"
"happiness","@bandit_zero its cool, and thats good"
"happiness","@barbsaka I love finding regional groups of Twitterers! Glad I could connect you with a few new people"
"happiness","@barnaby3 I saw them a few on this tour a few months ago in Boston. So good! Glad you finally got to see them"
"happiness","@barroca serio barroca?? parabens!!!!!!! May the 4th be with you!"
"happiness","@batman1952 You know what?  That cowboy hat in your pic made me smile today (you don't see many of those in Japan)"
"happiness","@BaybeehDoll No u miss me !!!!! LOL"
"happiness","@bbelle_ yeah, just knew him because of your link  HE'S COMPLETELY AMAZING AND HE SINGS PHANTOM!"
"happiness","@BD_illustrated Me Too! Its hard to argue w/ him 'cause he makes some great points, i just can't wrap my heart around that one"
"happiness","@beccamorte Oooh, neat!  Yes, SF has such good food.  Again, so jealous of all you SF people."
"happiness","@becckysmith aw no!  yeah I must say, it was very good haha"
"happiness","@BeccyR It's a program that shows all Twitter and Facebook status updates all in one.. it's alright, but yeah probably won't use it often"
"happiness","@BeDimples Lmao dimples naww thats cute , ok ill try to remember first of winter is dimple day"
"happiness","@beeank haha its awesome i always have to use it when i eat"
"happiness","@bella456  im going to my inlaws tonight.  hopefully my new niece will be there!  who needs kids when my inlaws have them all for me!"
"happiness","@BellaBKNY Thanks for your support as I kept updating, it helps"
"happiness","@bellothika  The flowers grow!!"
"happiness","@BeMeaningful thanks for FF wink"
"happiness","@benandskin Ah GDit! Ranger game this afternoon"
"happiness","@bertgoethals Cool, I used to live 5 houses to the left of that place  Always something going on :p"
"happiness","@besz Well, good luck then."
"happiness","@betscrr finally a pic! cya in like 16 hrs haha"
"happiness","@BevJack Babes it was sooo much fun!!  Thank you so much for making that happen!  Had fun with the ladies too!  Time went to fast."
"happiness","@bigeyedfishie it was AMAZING!!! Had the best time  hope you had a good weekend too."
"happiness","@bingofuel Why yes, we did see @CaryWilliams tonight. Delicious dinner by chef Geoff chez A-Lo/G-Mo.  Hope to see him again pre-departure"
"happiness","@bjolly086 Now, I can't call your kitten by its new name, because Ryan makes fun of the way I say kitten."
"happiness","@bkkrakora ew, i used to get &quot;suicides&quot; in high school and mix like 5 sodas together. then drink it. i think i remember enjoying it, too."
"happiness","@BlacksilkBlog Hugs to you for not being able to shag Crush anymore  x"
"happiness","@Blanquis26  Morning, hope you have a super day...enjoy !"
"happiness","@BlokesLib absolutely!  I have a &quot;his view&quot; section on my site.. I know you're busy but you are more than welcome to guest post"
"happiness","@Blondie_HK very funny"
"happiness","@blondiepops oooh sounds yummy.  If you get a chance to take some pics  please add them to the website as we don't have many pies on there"
"happiness","@blooddrunk SICK! I'm totally getting GH5!! Too bad you guys didn't get to play in Boston"
"happiness","@bluecrystaldude happy attending kenduri.. eat those yummy stuffs on my behalf ya."
"happiness","@boardopboy Picture or it never happened."
"happiness","@bobbiehouston haha that photo is too funny! I hope he wasn't disturbed by passengers too much during the flight"
"happiness","@bookaliciouspam Hey welcome to VA, LOL.  It's muggy up here by DC too.  Worst part of summer I'd say"
"happiness","@BoomKatt yes yes I AM, networking whore to the fullest.......and this girl is rih next to me"
"happiness","@boredgirl260 did he ask for your Twitter ID? Your sun sign?"
"happiness","@borgintraining I saw it and I liked it  Not bad :]"
"happiness","@botse that's a very cute picture ... but you don't get fat from licking BBQs ... he must have found some chops on someone else's ..."
"happiness","@BoyceAvenue hey guys it's leann. . i dont know if you remember me but i just wanted to say that i'm very excited to see you guys go far"
"happiness","@BrandiHoov we are coming...won't be there til around 9....can't stay though"
"happiness","@BrandonSmithCEO Wow. That's looks really good. I wish I had some. Was it good?"
"happiness","@BreakfastNews ETS (Endoscopic thoracic sympathectomy) is an invaluable surgical procedure"
"happiness","@breporter Thanks so much for following! The Muse has much gratitude and wishes you a magnificent &amp; productive start to your day!"
"happiness","@Brokenromantic haha malamang as one of my chef."
"happiness","@BrokePimpStyles Yep Yep! I plan to do nothing  That is bliss to me!"
"happiness","@Broooooke_ kk's  have fun eating lol, remember shaun loves you haha"
"happiness","@Brrridgett I already know what happens on Supernatural."
"happiness","@BrunnaXO don't be worried! I'm safe and sound!  &lt;3 you!"
"happiness","@bsaeed it was nice to meet you tonight &amp; thanks!!"
"happiness","@btocher  http://bit.ly/TVERS - ever been here? the night we didnt meet  we ended up here - possibly the best pizza this side of Chicago!"
"happiness","@Buchautor Hi Michael!  Wow, thanks for the kind words! Now I must find love connections for you just for your bg alone!"
"happiness","@Buchautor thanks for the follow friday"
"happiness","@buckhollywood HEY BUCK!!!!  love u loads!! LOVE &quot;WHAT THE BUCK?!&quot;"
"happiness","@BuggysRose  Haha,I just may do that,yo!"
"happiness","@bumblebeex0 awesome! maybe someday I'll find a book of yours on the bestsellers list? lol"
"happiness","@bumblebeex0 yeah the freedom is awesome, it's great being a little more independent"
"happiness","@bunnydrumming Hi bunny! I recently have subcribed to your channel on YouTube! You make some great stuff. Kinda just wanted to say hi!"
"happiness","@bunnymousekitt hahaha, yes, our discussions always seem to jump around randomly"
"happiness","@bunnyrenee thank you"
"happiness","@butterflydi i'll be back on it later today, got plenty of gold, but willing to help you out, if you need anything at all"
"happiness","@bwmson And so very you.  You know I say it w/ nothing but love, dude."
"happiness","@bztak1020 actually, my friend gave me the files today! lol but those are all CDA files... do u know how to convert them to MP3?"
"happiness","@c4ss4ndr4 do I discern a request for Hulu support? excellent idea!"
"happiness","@C64Takeaway that is a great remix of it. Double Wow!"
"happiness","@Cadistra Ah brilliant! Thanks a bunch"
"happiness","@Cadwaladr omg yes!!!!!!! but I have to get ready for work early tonight  I have payroll distribution duty"
"happiness","@caffeinefueled Welcome back"
"happiness","@caldjr yeh me 2"
"happiness","@caltort i have tried the Teriyaki - no cookie tho!  we got (non winning) Pop-tarts with it.  All was great!"
"happiness","@camillecakes I was nice!! I called you  lmao"
"happiness","@Candypants2 we did! They came out cold  The cheese sauce was good, though."
"happiness","@capemaybooks alright don't want you to overdue it now. LOL you are funny  nite nite"
"happiness","@captainboots  YOU'RE FAKING IT! Hahaha...I kid."
"happiness","@car4dave lol thanks!"
"happiness","@CARAciao haha :S i started yesterday my dad helped me so much!!!"
"happiness","@CardineB teehee. it was a good show anyway"
"happiness","@carljohnston"
"happiness","@carlocruuuz good! you joined the dark side hahahaha we have cookies!"
"happiness","@carmenparnos thanks so much for the belated #followfriday shout out #payingitforward"
"happiness","@carocat Nooo  But hey you're back next week! Are you moving back for good?"
"happiness","@CaroleCross Thank you for that!  I know it."
"happiness","@casndra okayy mail me thenn  Lol im hyperrr too much candy &amp;&amp; Jello x]"
"happiness","@cassapel Damn, I got all excited for nothing  hahaha"
"happiness","@cassetetapes  shareeee."
"happiness","@cassiewho haha no problem, it's fun isn't it"
"happiness","@cassowaryjewel Excellent point."
"happiness","@catatonickid @YogaChicky  @shiv379 Shiv, his place, slowly I hope"
"happiness","@catephoenix I'm thinking you deserve an award. A big shiny one."
"happiness","@catrionat7 Yes yes Is. Ima Guna Be On For a While Lol."
"happiness","@CBmagazine thanks for the reminder. Hope all have a great time"
"happiness","@cc_chapman #whuffaoke is the same night as @ACDC at Gillette Stadium!"
"happiness","@ccr_harris  There were way more than two! Ten hours of real-ale takes it out of you"
"happiness","@ce_ci ewww poor you  wish you all the best! thank God there is Rolland Garros this month isn't?! ;P"
"happiness","@ceemce Home Friday makes me  too!!!"
"happiness","@celebritystatus wifeyyyyyy  me no likey u siky"
"happiness","@CelestialQ good!  now let's go get this done..... www.HennesseyBlack.com"
"happiness","@celikins Yup, us too. Spending time with Mom, Sis and Aunt  Have A great Mothers Day!"
"happiness","@celldweller Must... have... new music... I won't sleep until you give us Chapter 1... I might die first though...  Hurry!"
"happiness","@ceramicheart my heart sings"
"happiness","@cestcassie Aw, that song makes me think of girl scouts."
"happiness","@cetras lol, anyway ni shi wai guo ren"
"happiness","@cha_rade oh no the economy gotcha?  sorry but so happy that you got another one in LA!  Enjoy SoCal! Ahahaay! LOL"
"happiness","@chainsawchelsea If it's any consolation, you're definitely one of the hottest GG's, IMHO"
"happiness","@Chambers_ Hahaaaha"
"happiness","@charavel nice! now gimmeh some nice stuff"
"happiness","@charley_bum lol *30 minutes slow* in a sec  i was just having fun tearing down old posters and putting up new ones"
"happiness","@CharlieCurve Wait - cool AND a sliding door? That's an oxymoron."
"happiness","@charliestyr Hella worth it, even if you don't need the full 32 now."
"happiness","@charmainelhs then you must insist you write essays the twitter way - no more than 140 characters"
"happiness","@cheadlek Another one will be coming later in the week, i won a Westlife DVD on trademe, one that i have been after!"
"happiness","@cheergod2002 yeah I can tell ha ha."
"happiness","@chelsea_anstee i hope! its in expo! that would be amazing. im trying so hard to make perfection so it is."
"happiness","@CherryBlossoms4 YEYYYY MADDY IS FABULOUSSSSSS GOD BLESS HER"
"happiness","@ChesterBaker Really laughing out loud! Seeing a limo in front of MacDonalds is just to funny!"
"happiness","@chetbuchanan SANJAYA FOREVER! HAHAHAHAHAHA!!!!"
"happiness","@CHIOMA_ yeeeee  Haha. The funniest thing is when dudes that cant ball bring their hot gfs along so they can watch them get murked!"
"happiness","@chocolatesuze yes yes you should! Especially with wine and mushrooms!! Ummm I love mushies"
"happiness","@Cholle2001 lucky...you get to do capoeira"
"happiness","@chris_shields06 good job!  I wish i worked in a zoo"
"happiness","@chrisbrownweb Hope Ye Got Dem; Ur Site Is Amazing, I Got On Everyday; I Tryed My Own, &amp; It Failed  Lol,"
"happiness","@CHRISDJMOYLES Get you lol what time we eating id hate to be late"
"happiness","@chrisfullman I would never do such a thing!  The only thing more awesomerer is the 15 minute walk to work"
"happiness","@ChrisKalydo Happy STAR WARS Day"
"happiness","@chrissinicole I guess thats just how I am lol"
"happiness","@christa42 you mean the post concert blues ;) *lol*  Well, I soooo know what you mean ..."
"happiness","@christhesoul well doesn't that look fab, even if I do say so myself!"
"happiness","@christian792 LOL we're such twitter addicts"
"happiness","@ChristineRabel ha ha surprisingly well considering!! Having a good time in the sun up in the mountains"
"happiness","@chromasia I saw your tweet minutes before going to lunch.  Decided to skip that today. Thanks for saving me the money  Speedy recovery!"
"happiness","@ChynaDollxo  Na my friend.. why? you ask  is it my great physique lol"
"happiness","@Ciaee Yessir, yessir, three cheeks full."
"happiness","@ciaoamalfi Its great when locals stop you to ask for directions, and even better when you know the answer"
"happiness","@CiaoBella50 Evening! How are you this Sat night?"
"happiness","@cindeelean I wake up at 4:30 during the week - and funny, Deathcab makes me think of you!  (&amp; I use your calendar to track work hours)"
"happiness","@cindypon ComicCon? That's cool!"
"happiness","@ckanal funny you should say...am filling it out as we speak ;) cheers!"
"happiness","@ckjchambers I agree the G B Reef got my vote  #queensland"
"happiness","@clairezee86 fo sho, im down"
"happiness","@Clara_miss my best friend won tickets to see them from kiis fm!"
"happiness","@clara018 heyy lol we are talking on david archuleta site as well lol  your funy lol"
"happiness","@claramattos yea, i should know.. but tell me EVERYTHING!  ps: send me direct messages telling..   haha"
"happiness","@Clarrisani Thank you for approving my application at the TWA Forum, honey. Keep up the good work"
"happiness","@Claymoore for sure! You and your wife seem like cool cats."
"happiness","@ClayWalker so glad, I hope yall make it back down near New Orleans"
"happiness","@cldoug Jana laughed when I told her about the anniversary tweet."
"happiness","@clighty Invite them to your house instead"
"happiness","@clio_jlh LOL That's a special kind of magic, though! ;)  And did you see the special on Discovery?  They think Nessie died."
"happiness","@clockworkmelt LOL I feel like drunk right now..."
"happiness","@CloneCommander *Everything* is better with lightsabers"
"happiness","@CloverandBee YEA!! Way to go! Super excited for a great Midwest resource!!! Midwest pride!"
"happiness","@clumsy_steph yeah school sucks totally. yea you can be so grateful that you got a better place  man i cant tell you how excited i am hul"
"happiness","@clumsyFA yeah! Love my Hawaiian outfit. We reused that for rugby 7 this year with @doublechin"
"happiness","@clyp1976 thanks!! I definitely will! The next season will be rainy and it comes in two month's time!!"
"happiness","@Cocodemerusa Joined you on facebook!"
"happiness","@CocoDishman wasssup cocoliciousness!!! I knew u didn't recognize me!  how's ur daughter?"
"happiness","@coconutfriend i should have shouldnt i, im happy you enjoyed it cos im thoughtful like that you see, and YAYA i hav 20 followers  woop"
"happiness","@cocosbutter its already good...I got to meet you!"
"happiness","@cocotian of course i do.. such an adorable face."
"happiness","@codingvictim nice to have you back"
"happiness","@coebooth Just got it a few hours ago! So not yet!"
"happiness","@Cohoons_World LOL! poor cubbies! brewers on a roll?? my rangers lost, but my Leafs won!"
"happiness","@col4man Thanks"
"happiness","@colbertobsessed  I was lucky, my mom paid for everything for me. I'll take you shopping!"
"happiness","@ColeDavid had  a little family party tonight   hope it rocked"
"happiness","@coleryanxxx yes LOL that's good one .remeber that bottoms are always the top ."
"happiness","@Colie5cent $300 later... I feel so good! But guilty"
"happiness","@ComedyQueen LOL it's overcast but otherwise ok. I'm tired but otherwise ok"
"happiness","@ComedyQueen Well.... you're not called comedyqueen for nowt - are you lol"
"happiness","@ConciseKilgore morning T! I love their breakfast! If I wasn't stuck at the shop right now getting maintenance done to the ride!"
"happiness","@conorp YES!!! one final party  better make it a good one !! how much mpre stuff you got to go?"
